cnty,name,price,state
graham-county-az,Graham County,197858,AZ
greenlee-county-az,Greenlee County,92801,AZ
la-paz-county-az,La Paz County,210665,AZ
maricopa-county-az,Maricopa County,348717,AZ
mohave-county-az,Mohave County,291534,AZ
navajo-county-az,Navajo County,264259,AZ
pima-county-az,Pima County,258436,AZ
pinal-county-az,Pinal County,279864,AZ
santa-cruz-county-az,Santa Cruz County,178974,AZ
yavapai-county-az,Yavapai County,376266,AZ
yuma-county-az,Yuma County,191772,AZ
alameda-county-ca,Alameda County,981160,CA
alpine-county-ca,Alpine County,430165,CA
amador-county-ca,Amador County,356924,CA
butte-county-ca,Butte County,352373,CA
calaveras-county-ca,Calaveras County,379260,CA
colusa-county-ca,Colusa County,256035,CA
contra-costa-county-ca,Contra Costa County,754500,CA
del-norte-county-ca,Del Norte County,270866,CA
el-dorado-county-ca,El Dorado County,554357,CA
fresno-county-ca,Fresno County,301653,CA
glenn-county-ca,Glenn County,260351,CA
humboldt-county-ca,Humboldt County,353926,CA
imperial-county-ca,Imperial County,257672,CA
inyo-county-ca,Inyo County,381812,CA
kern-county-ca,Kern County,264767,CA
kings-county-ca,Kings County,266959,CA
lake-county-ca,Lake County,284919,CA
lassen-county-ca,Lassen County,182648,CA
los-angeles-county-ca,Los Angeles County,728703,CA
madera-county-ca,Madera County,310002,CA
marin-county-ca,Marin County,1305184,CA
mariposa-county-ca,Mariposa County,313791,CA
mendocino-county-ca,Mendocino County,455250,CA
merced-county-ca,Merced County,321226,CA
modoc-county-ca,Modoc County,138364,CA
mono-county-ca,Mono County,490773,CA
monterey-county-ca,Monterey County,680358,CA
napa-county-ca,Napa County,784181,CA
nevada-county-ca,Nevada County,572775,CA
orange-county-ca,Orange County,829115,CA
placer-county-ca,Placer County,575896,CA
plumas-county-ca,Plumas County,291907,CA
riverside-county-ca,Riverside County,453860,CA
sacramento-county-ca,Sacramento County,450640,CA
san-benito-county-ca,San Benito County,725163,CA
san-bernardino-county-ca,San Bernardino County,422488,CA
san-diego-county-ca,San Diego County,702933,CA
san-francisco-county-ca,San Francisco County,1415456,CA
san-joaquin-county-ca,San Joaquin County,443194,CA
san-luis-obispo-county-ca,San Luis Obispo County,691303,CA
san-mateo-county-ca,San Mateo County,1452025,CA
santa-barbara-county-ca,Santa Barbara County,722001,CA
santa-clara-county-ca,Santa Clara County,1329587,CA
santa-cruz-county-ca,Santa Cruz County,954999,CA
shasta-county-ca,Shasta County,314288,CA
sierra-county-ca,Sierra County,256999,CA
siskiyou-county-ca,Siskiyou County,225454,CA
solano-county-ca,Solano County,497012,CA
sonoma-county-ca,Sonoma County,704121,CA
stanislaus-county-ca,Stanislaus County,375971,CA
sutter-county-ca,Sutter County,356491,CA
tehama-county-ca,Tehama County,255284,CA
trinity-county-ca,Trinity County,292124,CA
tulare-county-ca,Tulare County,259362,CA
tuolumne-county-ca,Tuolumne County,304031,CA
ventura-county-ca,Ventura County,665254,CA
yolo-county-ca,Yolo County,519746,CA
yuba-county-ca,Yuba County,319334,CA
adams-county-co,Adams County,423834,CO
alamosa-county-co,Alamosa County,192347,CO
arapahoe-county-co,Arapahoe County,451168,CO
archuleta-county-co,Archuleta County,348114,CO
baca-county-co,Baca County,92563,CO
