cnty,state,name,age
hillsborough-county-fl,FL,Hillsborough County,77.53308270676695
holmes-county-fl,FL,Holmes County,74.5
indian-river-county-fl,FL,Indian River County,79.6777777777778
jackson-county-fl,FL,Jackson County,74.72727272727272
jefferson-county-fl,FL,Jefferson County,76.5
lafayette-county-fl,FL,Lafayette County,77.2
lake-county-fl,FL,Lake County,77.76470588235294
lee-county-fl,FL,Lee County,78.68750000000001
leon-county-fl,FL,Leon County,77.57543859649125
levy-county-fl,FL,Levy County,74.925
liberty-county-fl,FL,Liberty County,75.85
madison-county-fl,FL,Madison County,76.14
manatee-county-fl,FL,Manatee County,78.9972972972973
marion-county-fl,FL,Marion County,75.44814814814815
martin-county-fl,FL,Martin County,81.60645161290323
miami-dade-county-fl,FL,Miami-Dade County,80.5551362683438
monroe-county-fl,FL,Monroe County,79.42399999999999
nassau-county-fl,FL,Nassau County,78.21666666666668
okaloosa-county-fl,FL,Okaloosa County,78.0157894736842
okeechobee-county-fl,FL,Okeechobee County,77.05555555555556
orange-county-fl,FL,Orange County,78.43597883597883
osceola-county-fl,FL,Osceola County,79.13235294117646
palm-beach-county-fl,FL,Palm Beach County,80.35435540069687
pasco-county-fl,FL,Pasco County,76.32123893805311
pinellas-county-fl,FL,Pinellas County,77.6485981308411
polk-county-fl,FL,Polk County,77.26666666666667
putnam-county-fl,FL,Putnam County,74.51875000000001
santa-rosa-county-fl,FL,Santa Rosa County,77.24583333333332
sarasota-county-fl,FL,Sarasota County,80.29012345679013
seminole-county-fl,FL,Seminole County,79.7898734177215
st.-johns-county-fl,FL,St. Johns County,80.34242424242424
st.-lucie-county-fl,FL,St. Lucie County,77.72790697674421
sumter-county-fl,FL,Sumter County,76.05833333333332
suwannee-county-fl,FL,Suwannee County,75.74285714285715
taylor-county-fl,FL,Taylor County,76.075
union-county-fl,FL,Union County,73.43333333333332
volusia-county-fl,FL,Volusia County,77.03904761904762
wakulla-county-fl,FL,Wakulla County,76.55
walton-county-fl,FL,Walton County,78.13636363636364
washington-county-fl,FL,Washington County,74.08333333333333
appling-county-ga,GA,Appling County,74.05
atkinson-county-ga,GA,Atkinson County,74.56666666666666
bacon-county-ga,GA,Bacon County,72.83333333333333
baker-county-ga,GA,Baker County,77.1
baldwin-county-ga,GA,Baldwin County,75.04444444444445
banks-county-ga,GA,Banks County,76.225
barrow-county-ga,GA,Barrow County,75.16470588235292
bartow-county-ga,GA,Bartow County,76.03571428571429
ben-hill-county-ga,GA,Ben Hill County,73.28
berrien-county-ga,GA,Berrien County,74.78
bibb-county-ga,GA,Bibb County,73.45641025641028
bleckley-county-ga,GA,Bleckley County,75.53333333333335
brantley-county-ga,GA,Brantley County,75.06666666666666
brooks-county-ga,GA,Brooks County,74.64000000000001
bryan-county-ga,GA,Bryan County,76.14000000000001
bulloch-county-ga,GA,Bulloch County,75.61111111111113
burke-county-ga,GA,Burke County,73.83999999999999
butts-county-ga,GA,Butts County,75.8
calhoun-county-ga,GA,Calhoun County,77.1
camden-county-ga,GA,Camden County,76.39999999999999
candler-county-ga,GA,Candler County,75.39999999999999
carroll-county-ga,GA,Carroll County,75.025
catoosa-county-ga,GA,Catoosa County,76.49090909090908
charlton-county-ga,GA,Charlton County,76.6
chatham-county-ga,GA,Chatham County,76.24500000000003
chattahoochee-county-ga,GA,Chattahoochee County,73.4
chattooga-county-ga,GA,Chattooga County,72.9
cherokee-county-ga,GA,Cherokee County,79.11666666666665
clarke-county-ga,GA,Clarke County,77.49166666666665
clay-county-ga,GA,Clay County,72.2
clayton-county-ga,GA,Clayton County,75.40476190476191
clinch-county-ga,GA,Clinch County,73.0
cobb-county-ga,GA,Cobb County,79.41962616822434
coffee-county-ga,GA,Coffee County,73.16250000000001
colquitt-county-ga,GA,Colquitt County,75.30999999999999
columbia-county-ga,GA,Columbia County,78.38333333333334
